	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
mitotic cell cycle (GO:0000278)	0.227911539117	0.0	0.0	0.0	0.0	0.0	-0.200647770179	-1.1144444394	-0.0	-5.74978830834	-28.7787995056	-25.6976077489
mitotic cell cycle phase transition (GO:0044772)	0.0	0.0	0.0	0.0	0.0	0.0	-0.298267648686	-0.669875397823	-0.0	-9.97727266709	-26.7084391645	-13.2200873111
cell cycle phase transition (GO:0044770)	0.0	0.0	0.0	0.0	0.0	0.0	-0.254407592589	-0.615864787614	-0.0	-11.87714277	-28.9844160376	-13.7013369504
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	0.0	0.0	0.0581144604957	0.0	0.0	0.0	-2.38556181414	-0.0	-0.0	-13.4493866905	-24.6927191455	-8.13614761917
negative regulation of mitotic cell cycle (GO:0045930)	1.66796238883	0.0	0.958569224004	0.0	1.49856657537	0.0	-0.0	-0.0349869414779	-0.0	-11.4744520827	-29.3935759455	-6.83372034255
positive regulation of protein ubiquitination (GO:0031398)	0.0	0.0	0.370214297525	0.0	0.0	0.0	-2.66985099359	-0.0	-0.0	-11.4342984741	-25.4712673029	-6.82711969354
negative regulation of mitotic cell cycle phase transition (GO:1901991)	2.39349394958	0.0	1.14057522365	0.0	0.133166434882	0.0	-0.0	-0.0	-0.0	-10.9381991797	-31.0847638653	-6.34307512021
regulation of protein modification by small protein conjugation or removal (GO:1903320)	0.425291857333	0.0	0.847528334673	0.0	0.0	0.0	-1.87008820454	-0.0	-0.0	-15.1357734236	-20.1762736544	-6.26460859612
negative regulation of cell cycle phase transition (GO:1901988)	3.44496605215	0.0	1.08592197068	0.0	0.898557718516	0.0	-0.0	-0.0	-0.0	-12.6071933626	-30.8885207739	-6.04428093754
positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051437)	0.0	0.0	0.0	0.0	0.0	0.0	-0.712676590587	-0.0	-0.0	-13.3986364334	-26.102098045	-5.77601269184
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	0.0	0.0	0.0	0.0	0.0	0.0	-0.657440525362	-0.0	-0.0	-14.6328553728	-24.6865791073	-5.20322080974
regulation of protein ubiquitination (GO:0031396)	0.0	0.0	0.981061884332	0.0	0.0	0.0	-2.05828285658	-0.0	-0.0	-14.1576622327	-21.7370399437	-5.36902896285
anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031145)	0.0	0.0	0.0	0.0	0.0	0.0	-0.63651443165	-0.0	-0.0	-14.6989906732	-24.6391516796	-4.99708401274
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	0.0	0.0	0.0	0.0	0.0	0.0	-1.1699857902	-0.0	-0.0	-14.7734302474	-24.443961901	-4.60770540415
positive regulation of ligase activity (GO:0051351)	0.0	0.0	0.0	0.0	0.0	0.0	-1.08036603242	-0.0	-0.0	-14.0291389986	-23.6200178791	-4.30205526664
protein catabolic process (GO:0030163)	0.0	0.0	0.173298800021	0.458324401939	0.0	0.0	-1.27849758996	-0.0	-0.337730104956	-10.6565236651	-11.0009543431	-3.057879633
regulation of ubiquitin-protein transferase activity (GO:0051438)	0.0	0.0	0.0	0.0	0.0	0.0	-0.883486148737	-0.0	-0.0	-15.262226822	-21.8785997625	-3.52593731732
regulation of ligase activity (GO:0051340)	0.0	0.0	0.0	0.0	0.0	0.0	-0.871463474693	-0.0	-0.0	-14.8888643125	-21.1081718741	-3.19945043066
proteasomal protein catabolic process (GO:0010498)	0.0	0.0	0.0	0.0	0.0	0.0	-1.29714800803	-0.0851208629386	-0.0	-11.5351903243	-15.2790758421	-2.37911932212
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.0	0.0	0.0	0.0	0.0	0.0	-1.42122887309	-0.130188258765	-0.0	-12.0009889938	-16.0037717593	-2.45577841442
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	0.0	0.0	0.0	0.0	0.0	0.0	-0.755478734741	-0.0	-0.0	-15.1860283797	-23.427773356	-1.96276334233
proteolysis involved in cellular protein catabolic process (GO:0051603)	2.37498023058	0.0	1.263303422	0.49428814433	0.0	0.0	-0.895077237526	-0.304664588695	-0.0	-15.2962094106	-16.3987417396	-2.54760862278
negative regulation of ligase activity (GO:0051352)	0.0	0.0	0.0	0.0	0.0	0.0	-0.72136468443	-0.0	-0.0	-15.3730527411	-22.6530018154	-1.75503293356
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	0.0	0.0	0.0	0.0	0.0	0.0	-0.719701308819	-0.0	-0.0	-15.3935939067	-22.6180746373	-1.75158260293
negative regulation of protein ubiquitination (GO:0031397)	0.0	0.0	0.0	0.0	0.0	0.0	-0.835064530181	-0.0	-0.0	-15.7160210341	-20.0717622569	-1.76533266453
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	0.0	0.0	0.0	0.0	0.0	0.0	-0.791485472711	-0.0	-0.0	-15.6051897827	-19.0607800517	-1.58744610966
gene expression (GO:0010467)	3.51623808652	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-14.4972477403	-20.3484997135	-0.844341705914
modification-dependent macromolecule catabolic process (GO:0043632)	1.80282828825	0.0	1.36082189055	0.0	0.0	0.0	-0.609245158908	-0.470798211949	-0.0	-16.1811368652	-12.5589140121	-2.19041778334
