	gene_symbol	10.0
213960_at	NTRK3	3.50444153832e-05
220647_s_at	CHCHD8	3.51201335545e-05
203000_at	STMN2	-3.53234420284e-05
219604_s_at	ZNF3	-3.5358510654e-05
209576_at	GNAI1	-3.55303238325e-05
216655_s_at	-666	3.5699082189e-05
215175_at	PCNX	-3.57733975283e-05
221680_s_at	ETV7	3.59626590436e-05
206989_s_at	SCAF11	-3.60038916275e-05
208240_s_at	FGF1	3.61130577021e-05
213968_at	-666	-3.62898848646e-05
209322_s_at	SH2B1	3.65338761006e-05
207867_at	PAX4	3.66265567161e-05
216758_at	-666	-3.68641814746e-05
205463_s_at	PDGFA	-3.70184219444e-05
220291_at	GDPD2	3.70714031009e-05
45297_at	EHD2	-3.74658861519e-05
217524_x_at	-666	-3.76402443505e-05
201834_at	PRKAB1	-3.78709529922e-05
211903_s_at	MPL	-3.79607975954e-05
206882_at	SLC1A6	3.85580666839e-05
216107_at	PP13	3.87110622322e-05
217144_at	UBB	-3.87785949899e-05
203587_at	ARL4D	3.88561697352e-05
208229_at	FGFR2	-3.94688263921e-05
221573_at	-666	3.9990343185e-05
208538_at	ANP32C	4.07163615097e-05
210087_s_at	MPZL1	-4.09470531281e-05
205356_at	USP13	4.12788965801e-05
202223_at	STT3A	4.13888050825e-05
217892_s_at	LIMA1	4.16294285271e-05
210712_at	LDHAL6B	-4.18435975477e-05
206203_at	RCVRN	-4.2883553567e-05
215831_at	-666	4.3673777987e-05
219727_at	DUOX2	4.37810057308e-05
221532_s_at	WDR61	4.4439521839e-05
204210_s_at	PCYT1A	4.49869025204e-05
211707_s_at	IQCB1	4.49942639468e-05
202664_at	WIPF1	4.52414449503e-05
201634_s_at	CYB5B	4.53942121809e-05
202087_s_at	CTSL1	4.54202690251e-05
57516_at	ZNF764	-4.54836410294e-05
217926_at	C19ORF53	-4.67797076358e-05
216616_at	-666	-4.72584343904e-05
216784_at	-666	4.73302514368e-05
202323_s_at	ACBD3	-4.74271524812e-05
210751_s_at	RGN	-4.75366351957e-05
220004_at	DDX43	-4.81950583901e-05
217083_at	-666	-4.84677151403e-05
212339_at	EPB41L1	-4.85045214998e-05
205496_at	KIAA0408	4.8620308519e-05
221369_at	MTNR1A	-4.88707710503e-05
207342_at	CNGB1	-4.90312909997e-05
220357_s_at	SGK2	-5.0010778896e-05
207425_s_at	SEPT9	-5.00335942874e-05
215178_x_at	NAAA	5.0322778186e-05
215449_at	TSPO2	5.05419590342e-05
221876_at	ZNF783	5.05738466368e-05
208363_s_at	INPP4A	5.07192938757e-05
206265_s_at	GPLD1	5.07486204784e-05
204413_at	TRAF2	-5.09307388052e-05
203905_at	PARN	-5.11951503476e-05
217441_at	USP33	5.12058282374e-05
210077_s_at	SRSF5	5.14162024629e-05
218003_s_at	FKBP3	-5.16496289835e-05
205072_s_at	XRCC4	5.18803599736e-05
222068_s_at	DNAAF1	-5.26593900781e-05
214292_at	ITGB4	-5.28786729084e-05
217076_s_at	HOXD3	-5.28904594766e-05
206555_s_at	THUMPD1	-5.31320379753e-05
219596_at	THAP10	-5.31637864874e-05
212548_s_at	FRYL	-5.35056003231e-05
207471_at	-666	-5.35541308424e-05
214504_at	ABO	-5.37953050878e-05
208169_s_at	PTGER3	-5.39264502004e-05
209930_s_at	NFE2	5.40748234083e-05
207936_x_at	RFPL3	5.41107558629e-05
222245_s_at	FER1L4	-5.43413961803e-05
217539_at	C18ORF25	-5.43894546242e-05
219637_at	ARMC9	5.49500849621e-05
222107_x_at	LZTS1	-5.49992246517e-05
201053_s_at	PSMF1	5.51210087604e-05
212597_s_at	HMGXB4	5.52589175163e-05
209776_s_at	SLC19A1	5.56132204496e-05
213891_s_at	TCF4	-5.56203845945e-05
207702_s_at	MAGI2	-5.56864435618e-05
216206_x_at	MAP2K7	-5.56972789849e-05
216752_at	PIK3R4	5.58550436381e-05
215112_x_at	MCF2L2	-5.60281498754e-05
221949_at	UBE2D4	5.60626421179e-05
212321_at	SGPL1	-5.62201187091e-05
213205_s_at	RAD54L2	-5.6394966662e-05
202985_s_at	BAG5	-5.65735756883e-05
37226_at	BNIP1	-5.68623118182e-05
209262_s_at	NR2F6	5.76319412192e-05
219755_at	CBX8	5.85910998344e-05
221583_s_at	KCNMA1	5.88446360715e-05
210878_s_at	KDM3B	-5.94187142519e-05
205808_at	ASPH	5.95243536792e-05
212553_at	RPRD2	-5.95676859582e-05
213250_at	CCDC85B	-5.96107891525e-05
205373_at	CTNNA2	-5.96748190959e-05
216810_at	KRTAP4-7	-6.00250793047e-05
215132_at	-666	-6.01633660012e-05
203822_s_at	ELF2	6.05025787066e-05
202120_x_at	AP2S1	-6.07756874755e-05
210623_at	UBXN1	6.12461608909e-05
222346_at	LAMA1	6.13321401469e-05
211460_at	-666	-6.13864222295e-05
207476_at	LOC100507630	6.17780186285e-05
202557_at	HSPA13	-6.19194015321e-05
221392_at	TAS2R4	6.20525872002e-05
213033_s_at	NFIB	6.27287371027e-05
216196_at	-666	6.29336403257e-05
203593_at	CD2AP	6.29354329309e-05
37796_at	-666	-6.3192917815e-05
215190_at	EIF3M	-6.34343499538e-05
202174_s_at	PCM1	-6.40259309838e-05
211816_x_at	FCAR	6.48509356086e-05
205819_at	MARCO	6.50643157309e-05
35617_at	MAPK7	-6.5209791882e-05
221281_at	SRC	6.53475989393e-05
212227_x_at	EIF1	-6.57417251885e-05
216657_at	ATXN3	6.58958536409e-05
222014_x_at	MTO1	-6.62923979327e-05
215196_at	-666	6.63484614022e-05
215152_at	MYB	-6.6391467542e-05
208477_at	KCNC1	6.70953922378e-05
212743_at	RCHY1	-6.76125509791e-05
212008_at	UBXN4	6.76959779249e-05
214176_s_at	PBXIP1	-6.80447526345e-05
203601_s_at	ZBTB17	-6.80549911453e-05
209090_s_at	SH3GLB1	-6.81210329063e-05
207139_at	ATP4A	-6.87411040515e-05
216104_at	LOC100505960	6.88257031001e-05
208504_x_at	PCDHB11	-6.96790423879e-05
207972_at	GLRA1	7.00923389111e-05
206790_s_at	NDUFB1	7.01977449921e-05
222178_s_at	-666	7.02176886382e-05
202224_at	CRK	-7.12856499615e-05
200081_s_at	RPS6	7.19799747185e-05
207675_x_at	ARTN	7.21625536586e-05
203129_s_at	KIF5C	-7.27554742461e-05
208825_x_at	RPL23A	-7.28881950041e-05
208531_at	-666	-7.3137497267e-05
211254_x_at	RHAG	-7.34168852747e-05
212836_at	POLD3	-7.34332802071e-05
205242_at	CXCL13	-7.35714743612e-05
202117_at	ARHGAP1	-7.36005361693e-05
216742_at	-666	-7.44951160051e-05
219989_s_at	ANKS1B	7.46919074307e-05
