	gene_symbol	3.33
220545_s_at	TSKS	-4.03025581211e-05
216676_x_at	KIR3DL3	-4.1258783252e-05
221409_at	OR2S2	4.13876735809e-05
212804_s_at	GAPVD1	-4.14255560728e-05
202078_at	COPS3	-4.15783806371e-05
200091_s_at	RPS25	4.1606795635e-05
208696_at	CCT5	-4.20271786843e-05
205446_s_at	ATF2	4.24848546352e-05
218140_x_at	SRPRB	4.27193236157e-05
201804_x_at	TBCB	-4.28134033427e-05
215066_at	PTPRF	4.2955784016e-05
214648_at	GPX5	-4.3199690479e-05
221144_at	-666	4.33317277367e-05
203503_s_at	PEX14	4.33524609945e-05
214273_x_at	NPRL3	4.37933306308e-05
217579_x_at	-666	4.38957308762e-05
211095_at	NF1	4.39934548268e-05
212461_at	AZIN1	-4.41427354918e-05
218865_at	MOSC1	4.43107434891e-05
215479_at	-666	-4.44308845289e-05
209351_at	KRT14	4.47138412881e-05
204385_at	KYNU	4.47867732076e-05
221296_at	TECTA	4.52292678733e-05
219457_s_at	RIN3	4.61929646902e-05
219290_x_at	DAPP1	-4.64325434946e-05
219715_s_at	TDP1	4.71902269959e-05
214583_at	DDI2	-4.73534800317e-05
632_at	GSK3A	-4.79455420557e-05
209949_at	NCF2	-4.80531008108e-05
220086_at	IKZF5	4.92474716956e-05
204634_at	NEK4	4.95455604681e-05
211524_at	NFKB2	4.9593268507e-05
213355_at	ST3GAL6	4.98138053109e-05
218879_s_at	MTHFSD	5.00609832125e-05
213357_at	GTF2H5	-5.01926687966e-05
203161_s_at	RNF8	5.0679043651e-05
201811_x_at	SH3BP5	-5.10896363255e-05
209420_s_at	SMPD1	5.18022749777e-05
208288_at	ABCB11	-5.34772233696e-05
211556_at	MAPRE2	-5.35791151235e-05
211867_s_at	PCDHA10	5.35867049943e-05
209648_x_at	SOCS5	-5.49153693428e-05
212269_s_at	MCM3AP	-5.50874776542e-05
200889_s_at	SSR1	-5.51999821805e-05
215647_at	-666	-5.53750440223e-05
215618_at	RSU1	5.56359368687e-05
220852_at	PRO1768	5.56994106439e-05
219063_at	C1ORF35	5.71990347893e-05
202588_at	AK1	5.76941782075e-05
202361_at	SEC24C	5.79820500858e-05
208408_at	PTN	-5.8200074023e-05
202890_at	MAP7	5.82521717237e-05
216487_at	-666	5.8636619883e-05
220509_at	RBM26	-5.86582230159e-05
214034_at	ERAP1	5.90758801356e-05
216877_at	DKFZP686O1327	5.93409321406e-05
217707_x_at	SMARCA2	-5.99538264965e-05
205457_at	C6ORF106	6.03999465526e-05
202248_at	E2F4	-6.04326114689e-05
201370_s_at	CUL3	6.05028730047e-05
216501_at	VAC14	-6.05828251062e-05
219903_s_at	CYP2C8	6.08743106717e-05
201655_s_at	HSPG2	6.10559569246e-05
218974_at	SOBP	-6.17796798171e-05
200043_at	ERH	-6.22211384077e-05
209666_s_at	CHUK	-6.2311385151e-05
201098_at	COPB2	-6.28234576179e-05
203003_at	MEF2D	-6.29417704463e-05
217629_at	-666	6.30227055275e-05
211181_x_at	RUNX1	6.30262642086e-05
202918_s_at	MOB4	-6.30685342949e-05
214245_at	RPS14	6.33188640881e-05
205796_at	TCP11L1	6.35723903875e-05
207897_at	CRHR2	6.36458335435e-05
216636_at	-666	-6.37224844587e-05
215960_at	SLC5A4	-6.38261055414e-05
203816_at	DGUOK	6.41857260048e-05
201890_at	RRM2	6.42518309292e-05
216948_at	-666	6.49936529984e-05
201941_at	CPD	6.59925337755e-05
203867_s_at	NLE1	6.66162188435e-05
212888_at	DICER1	6.67566675947e-05
221576_at	GDF15	6.71789151187e-05
209953_s_at	CDC37	6.7254305876e-05
220363_s_at	ELMO2	-6.76457381909e-05
217969_at	C11ORF2	-6.82251411593e-05
210929_s_at	AHSG	6.82291700539e-05
218296_x_at	-666	-6.83453441928e-05
207154_at	DIO3	-6.84004566014e-05
34187_at	RBMS2	-6.89143064801e-05
205385_at	MDM2	6.93550972108e-05
221971_x_at	-666	6.93895649183e-05
216714_at	CCL13	6.9584050087e-05
221323_at	ULBP1	7.07255372836e-05
221249_s_at	FAM117A	7.10753523105e-05
211627_x_at	ESR1	-7.11132390286e-05
207441_at	SMR3B	7.11342594942e-05
221414_s_at	DEFB126	-7.13091061218e-05
217825_s_at	UBE2J1	7.15384950839e-05
200868_s_at	RNF114	-7.1600680737e-05
205254_x_at	TCF7	-7.18952055318e-05
217323_at	HLA-DRB6	7.22796743096e-05
222331_at	-666	7.26064307309e-05
216800_at	-666	7.34407790296e-05
210014_x_at	IDH3B	7.37660568709e-05
215303_at	DCLK1	-7.4028280193e-05
210811_s_at	DDX49	7.41490735611e-05
216592_at	MAGEC3	7.46262400964e-05
222172_at	NPAS3	-7.50792418098e-05
217267_s_at	RAB7A	7.5252056503e-05
202027_at	TMEM184B	7.55217051225e-05
212839_s_at	TROVE2	-7.56423753634e-05
202719_s_at	TES	-7.56702218037e-05
207642_at	HCRT	7.5747715681e-05
219838_at	TTC23	-7.5935630715e-05
220074_at	CDHR5	7.60017089721e-05
206106_at	-666	-7.60319778079e-05
208857_s_at	PCMT1	7.61327604252e-05
211458_s_at	-666	-7.66482490258e-05
217405_x_at	GPLD1	-7.701313926e-05
219816_s_at	RBM23	7.71568848429e-05
215754_at	SCARB2	-7.74489872331e-05
215935_at	-666	7.80823675264e-05
209982_s_at	NRXN2	-7.81229341515e-05
212766_s_at	ISG20L2	7.84135059935e-05
217975_at	WBP5	-7.84511352909e-05
218090_s_at	WDR11	7.96703365592e-05
208933_s_at	LGALS8	-7.99574204023e-05
218412_s_at	GTF2IRD1	-8.03200879759e-05
205582_s_at	GGT5	8.04534814452e-05
217392_at	BAZ2B	-8.08708074182e-05
207632_at	MUSK	8.09416403337e-05
216593_s_at	PIGC	-8.18981131002e-05
217121_at	TNKS	8.19967617135e-05
1861_at	BAD	-8.23178930081e-05
216647_at	TCF3	-8.23355200114e-05
