id	RN_Target_Gene_ID	SM_Center_Compound_ID	SM_Dose	SM_Dose_Unit	SM_LINCS_ID	SM_Name	SM_Pert_Type	SM_Time	SM_Time_Unit	det_plate	det_well
MCF10A-ctl_vehicle-12067	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N19
MCF10A-ctl_vehicle-12068	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N20
MCF10A-ctl_vehicle-12069	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N21
MCF10A-ctl_vehicle-12070	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N22
MCF10A-ctl_vehicle-12071	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N23
MCF10A-ctl_vehicle-12072	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X1_B17	N24
MCF10A-ctl_vehicle-12119	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	A03
MCF10A-ctl_vehicle-12120	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	A04
MCF10A-ctl_vehicle-12121	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	A05
MCF10A-ctl_vehicle-12122	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	A06
MCF10A-ctl_vehicle-12139	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	B04
MCF10A-ctl_vehicle-12140	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	B06
MCF10A-ctl_vehicle-12234	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F07
MCF10A-ctl_vehicle-12235	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F08
MCF10A-ctl_vehicle-12236	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F09
MCF10A-ctl_vehicle-12237	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F10
MCF10A-ctl_vehicle-12238	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F11
MCF10A-ctl_vehicle-12239	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	F12
MCF10A-ctl_vehicle-12330	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	J14
MCF10A-ctl_vehicle-12331	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	J15
MCF10A-ctl_vehicle-12332	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	J16
MCF10A-ctl_vehicle-12333	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	J17
MCF10A-ctl_vehicle-12334	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	J18
MCF10A-ctl_vehicle-12427	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N19
MCF10A-ctl_vehicle-12428	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N20
MCF10A-ctl_vehicle-12429	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N21
MCF10A-ctl_vehicle-12430	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N22
MCF10A-ctl_vehicle-12431	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N23
MCF10A-ctl_vehicle-12432	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X2_B17	N24
MCF10A-ctl_vehicle-12476	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	A03
MCF10A-ctl_vehicle-12477	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	A04
MCF10A-ctl_vehicle-12478	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	A05
MCF10A-ctl_vehicle-12479	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	A06
MCF10A-ctl_vehicle-12494	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	B03
MCF10A-ctl_vehicle-12495	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	B04
MCF10A-ctl_vehicle-12496	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	B05
MCF10A-ctl_vehicle-12497	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	B06
MCF10A-ctl_vehicle-12577	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	F07
MCF10A-ctl_vehicle-12578	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	F08
MCF10A-ctl_vehicle-12579	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	F09
MCF10A-ctl_vehicle-12580	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	F12
MCF10A-ctl_vehicle-12667	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J13
MCF10A-ctl_vehicle-12668	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J14
MCF10A-ctl_vehicle-12669	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J15
MCF10A-ctl_vehicle-12670	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J16
MCF10A-ctl_vehicle-12671	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J17
MCF10A-ctl_vehicle-12672	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	J18
MCF10A-ctl_vehicle-12766	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N19
MCF10A-ctl_vehicle-12767	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP005_MCF10A_24H_X3_B17	N20
