	gene_symbol	0.04
201805_at	PRKAG1	3.68184369749e-07
202015_x_at	-666	7.54851499376e-07
206968_s_at	NFRKB	-9.91428278495e-07
202511_s_at	ATG5	-1.14526883992e-06
201263_at	TARS	-1.28961556192e-06
209477_at	EMD	-1.40140579402e-06
221719_s_at	LZTS1	-1.54851636275e-06
222176_at	PTEN	-1.78756168045e-06
202386_s_at	KIAA0430	-1.99478891206e-06
216542_x_at	-666	-2.4531187342e-06
209899_s_at	PUF60	-2.52744433357e-06
207097_s_at	SLC17A2	-2.85953560712e-06
206198_s_at	CEACAM7	3.16993253876e-06
214559_at	DRD3	3.47638314196e-06
218259_at	MKL2	-3.50628619043e-06
212171_x_at	VEGFA	3.66984342987e-06
212369_at	ZNF384	-3.6708174366e-06
213607_x_at	NADK	-3.93376814229e-06
222157_s_at	WDR48	-4.43226112788e-06
209499_x_at	-666	-5.19836957302e-06
219596_at	THAP10	-5.62515337028e-06
206830_at	SLC4A10	-5.64291516873e-06
206321_at	RFX1	-5.69476656844e-06
221969_at	PAX5	5.79228805851e-06
207767_s_at	EGR4	6.40530985945e-06
220819_at	FRMD1	6.65746578817e-06
202764_at	STIM1	-6.79008241644e-06
207126_x_at	-666	-6.80215402616e-06
218430_s_at	RFX7	6.97216757284e-06
205299_s_at	BTN2A2	-7.06008411031e-06
200636_s_at	PTPRF	-7.07360700129e-06
215590_x_at	LOC100128640	-7.18820472152e-06
207161_at	KIAA0087	-7.25483457941e-06
220717_at	ADAMTS20	7.68493639144e-06
215168_at	TIMM17A	7.92376512882e-06
206707_x_at	FAM65B	-8.04343242013e-06
220029_at	ELOVL2	-8.18551749527e-06
208102_s_at	PSD	9.66273378414e-06
209680_s_at	KIFC1	-1.00881093987e-05
222205_x_at	FAM182B	1.01380116222e-05
222170_at	-666	1.02481497145e-05
222002_at	C7ORF26	1.03623043808e-05
200979_at	PDHA1	1.05616444601e-05
212619_at	TMEM194A	1.13169651541e-05
34221_at	HMGXB3	-1.13429489742e-05
208455_at	PVRL1	1.15324375178e-05
220382_s_at	ARHGAP28	-1.17174917446e-05
214690_at	TAF1B	1.1819036291e-05
214487_s_at	-666	-1.19324619394e-05
202359_s_at	SNX19	-1.20138080178e-05
219833_s_at	EFHC1	1.20349272699e-05
214379_at	HNRPDL	1.25801617596e-05
221380_at	-666	-1.29182700824e-05
207877_s_at	NVL	-1.36238028219e-05
202371_at	TCEAL4	1.4291550469e-05
213681_at	CYHR1	1.47462380626e-05
209411_s_at	GGA3	1.48936622213e-05
213957_s_at	CEP350	1.50552628376e-05
211842_s_at	SLC24A1	1.58250274568e-05
216725_at	DCLK2	-1.61990279491e-05
210064_s_at	UPK1B	1.62155041848e-05
207908_at	KRT2	-1.68200939236e-05
222086_s_at	WNT6	1.71795977247e-05
209571_at	CIR1	1.73606638796e-05
205301_s_at	OGG1	-1.74107812658e-05
210525_x_at	EFCAB11	1.75154314165e-05
207737_at	-666	1.76535217219e-05
206804_at	CD3G	1.78534742049e-05
204468_s_at	TIE1	-1.81244727239e-05
217224_at	-666	1.83255775576e-05
216416_at	-666	1.83569247354e-05
215755_at	-666	-1.85156532267e-05
205369_x_at	DBT	-1.87258626941e-05
202167_s_at	MMS19	-1.88587816405e-05
215299_x_at	SULT1A1	1.88950122235e-05
207183_at	GPR19	1.91892002403e-05
221235_s_at	TGFBRAP1	-1.92413628407e-05
212730_at	SYNM	1.93134400477e-05
219265_at	MOB3B	1.97103914254e-05
203701_s_at	TRMT1	-1.98751580437e-05
216737_at	-666	-2.00377176025e-05
200090_at	FNTA	2.0917095257e-05
216178_x_at	ITGB1	2.12921061004e-05
208202_s_at	PHF15	2.14720277072e-05
203270_at	DTYMK	-2.15408750613e-05
203670_at	TTLL3	2.15650128168e-05
210194_at	PLA2R1	-2.17259077291e-05
202958_at	PTPN9	-2.1812060921e-05
210073_at	ST8SIA1	-2.26830555936e-05
214794_at	PA2G4	-2.3323115287e-05
221575_at	SCLY	2.44097758093e-05
220993_s_at	GPR63	2.46095376544e-05
213565_s_at	SMAD6	-2.46414851497e-05
208160_at	-666	2.48716379764e-05
207461_at	-666	-2.50026803959e-05
206663_at	SP4	2.59247352948e-05
217242_at	ZNF154	-2.61911700594e-05
206945_at	LCT	2.67629827729e-05
212489_at	COL5A1	2.76713581943e-05
202794_at	INPP1	2.7793712493e-05
216371_at	-666	2.78300006167e-05
206350_at	APCS	-2.78428368536e-05
207760_s_at	NCOR2	2.80218502975e-05
208467_at	KLF12	-2.90136422066e-05
208869_s_at	GABARAPL1	-2.94835184248e-05
217153_at	ARHGAP1	3.03792672531e-05
200004_at	EIF4G2	3.04168386034e-05
204206_at	MNT	-3.06385313602e-05
203661_s_at	TMOD1	-3.1066940369e-05
218257_s_at	UGGT1	3.126577528e-05
206323_x_at	OPHN1	-3.1303782606e-05
203850_s_at	KIF1A	-3.19900403622e-05
201626_at	INSIG1	3.21226354778e-05
204532_x_at	-666	-3.25425551635e-05
217054_at	-666	3.27515168858e-05
205666_at	FMO1	-3.27736809003e-05
205209_at	ACVR1B	3.37115894828e-05
206609_at	MAGEC1	-3.45581566283e-05
217696_at	FUT7	-3.46256360905e-05
214425_at	AMBP	-3.50627553426e-05
222228_s_at	ALKBH4	3.51333180871e-05
213126_at	MED8	-3.54932070122e-05
216319_at	-666	-3.55309364395e-05
200634_at	PFN1	3.61945180507e-05
210575_at	NUDC	-3.66247879642e-05
221348_at	NPPC	3.706156419e-05
221400_at	MYO3A	3.71380505404e-05
211987_at	TOP2B	3.71627938411e-05
207132_x_at	PFDN5	3.76525885415e-05
217155_at	-666	-3.78701841158e-05
211305_x_at	FCAR	-3.83659213667e-05
207640_x_at	NTN3	-3.86439694259e-05
204012_s_at	LCMT2	3.87419319063e-05
210471_s_at	KCNAB1	-3.8775412157e-05
207118_s_at	-666	-3.88093884747e-05
202950_at	CRYZ	-3.93415408099e-05
202543_s_at	GMFB	-3.9874085264e-05
200054_at	ZNF259	-3.99166461714e-05
212815_at	ASCC3	4.01172780538e-05
203087_s_at	KIF2A	4.02367869564e-05
204757_s_at	C2CD2L	-4.05753610868e-05
213516_at	AKAP13	-4.08733021424e-05
207298_at	SLC17A3	-4.1613749564e-05
208481_at	ASB4	4.16938694963e-05
216087_at	-666	-4.17723581722e-05
213179_at	RQCD1	4.22067000174e-05
217317_s_at	-666	-4.22217787767e-05
212095_s_at	MTUS1	-4.2339848635e-05
207299_s_at	GRM1	4.258304851e-05
220826_at	TCP10L	-4.27295857813e-05
220538_at	ADM2	4.28678825474e-05
202553_s_at	SYF2	4.30767004284e-05
215677_s_at	BRF1	-4.31058741488e-05
219101_x_at	ABHD8	-4.31815721137e-05
207527_at	KCNJ9	4.32170273157e-05
222305_at	HK2	-4.33499385557e-05
215291_at	MKL1	-4.38360445828e-05
216800_at	-666	-4.40418307286e-05
221906_at	TXNRD3	4.41132663005e-05
207766_at	CDKL1	4.43571435067e-05
211353_at	LRIT1	-4.49265686449e-05
203299_s_at	AP1S2	-4.51049850304e-05
218337_at	FAM160B2	-4.61717854783e-05
204557_s_at	DZIP1	4.63155399258e-05
203361_s_at	MYCBP	-4.63209291167e-05
220649_at	AGBL3	-4.64245421953e-05
222301_at	C1ORF61	-4.66837190362e-05
212585_at	OSBPL8	-4.69829337764e-05
205525_at	CALD1	-4.73967706166e-05
204593_s_at	SMCR7L	4.75506651145e-05
222104_x_at	GTF2H3	4.87850595661e-05
202483_s_at	RANBP1	4.90485016688e-05
208605_s_at	NTRK1	4.98460062746e-05
211626_x_at	ERG	-5.04836371789e-05
204449_at	PDCL	-5.07249572558e-05
218529_at	CD320	-5.09443644411e-05
207293_s_at	AGTR2	-5.10457848434e-05
211274_at	TBX1	5.1188596387e-05
206932_at	CH25H	-5.18447630081e-05
216353_s_at	-666	-5.23540100983e-05
209159_s_at	NDRG4	-5.26692067434e-05
202105_at	IGBP1	5.33350304964e-05
206979_at	C8B	-5.3529201947e-05
200854_at	NCOR1	-5.39599943056e-05
209227_at	TUSC3	-5.39620368962e-05
211867_s_at	PCDHA10	5.43445389994e-05
207009_at	PHOX2B	5.47455917128e-05
211055_s_at	INVS	-5.49057299711e-05
209849_s_at	RAD51C	-5.50171838133e-05
209315_at	HBS1L	-5.52813863484e-05
208328_s_at	MEF2A	-5.55386082846e-05
206723_s_at	LPAR2	-5.63432834335e-05
216717_at	FAM48A	5.72062420355e-05
201329_s_at	ETS2	-5.75484963115e-05
217454_at	-666	5.7565916603e-05
218466_at	TBC1D17	5.83456759054e-05
222202_at	-666	-5.86060061476e-05
207751_at	-666	5.87464252943e-05
220301_at	CCDC102B	-5.92561656383e-05
218216_x_at	ARL6IP4	-5.94654129386e-05
210717_at	-666	-5.95943140184e-05
216874_at	DKFZP686O1327	5.97852069328e-05
201285_at	MKRN1	5.99250180781e-05
221546_at	PRPF18	-5.99623730054e-05
203115_at	FECH	-6.00485907265e-05
219059_s_at	LYVE1	-6.02889952365e-05
217375_at	-666	-6.05141170263e-05
209523_at	TAF2	6.05268782749e-05
219600_s_at	TMEM50B	6.05756681068e-05
221740_x_at	LOC100506162	-6.05957382578e-05
213743_at	CCNT2	-6.07099683191e-05
207470_at	-666	6.104789026e-05
208541_x_at	TFAM	6.13961892618e-05
206995_x_at	SCARF1	-6.15237425208e-05
217588_at	-666	-6.26680039568e-05
214308_s_at	HGD	-6.30431135916e-05
211897_s_at	CRHR1	-6.30851839637e-05
204032_at	BCAR3	6.31192184288e-05
211091_s_at	NF2	6.31732308452e-05
220972_s_at	KRTAP9-9	6.34349966052e-05
221641_s_at	ACOT9	-6.37028021682e-05
218904_s_at	C9ORF40	6.388146339e-05
222028_at	ZNF45	-6.42619890042e-05
218480_at	AGBL5	-6.42960965619e-05
216378_at	-666	-6.48958584805e-05
213303_x_at	ZBTB7A	6.49383409723e-05
207157_s_at	GNG5	-6.49573255291e-05
218672_at	SCNM1	-6.51731538285e-05
205691_at	SYNGR3	6.54511930364e-05
216976_s_at	RYK	6.56449620163e-05
218463_s_at	MUS81	6.59265977637e-05
209194_at	CETN2	6.62845502621e-05
213061_s_at	NTAN1	-6.62922974143e-05
216933_x_at	APC	-6.71102794824e-05
208980_s_at	UBC	-6.76044976391e-05
220403_s_at	TP53AIP1	6.78319306051e-05
212738_at	ARHGAP19	6.798680508e-05
216698_x_at	-666	6.81445584344e-05
209503_s_at	PSMC5	6.85495197908e-05
211111_at	HGC6.3	6.88067601249e-05
215312_at	-666	6.88722148091e-05
220919_s_at	WDR96	-6.89573279719e-05
203668_at	MAN2C1	-6.93596996172e-05
215593_at	-666	-6.94411945012e-05
219284_at	HSPBAP1	-6.97450947176e-05
209285_s_at	FAM208A	-7.01590837342e-05
202523_s_at	SPOCK2	-7.03513427365e-05
219420_s_at	SELRC1	7.04114868317e-05
217705_at	PRKD1	-7.05674309924e-05
206119_at	BHMT	-7.11702230592e-05
206705_at	TULP1	-7.1170830803e-05
210977_s_at	HSF4	-7.18165765655e-05
218208_at	PQLC1	-7.21652457392e-05
208276_at	-666	7.23575038508e-05
205805_s_at	ROR1	-7.25243607922e-05
211514_at	DSTYK	-7.25531363471e-05
216339_s_at	-666	-7.2742804e-05
215797_at	TRAV8-3	-7.30586149152e-05
220376_at	LRRC19	7.31605541068e-05
209461_x_at	WDR18	-7.32874122093e-05
218671_s_at	ATPIF1	-7.33733938786e-05
209639_s_at	RGS12	-7.33893592874e-05
208036_at	OPN1SW	7.42464089865e-05
201391_at	TRAP1	-7.44634855374e-05
201331_s_at	STAT6	-7.51496958203e-05
213474_at	KCTD7	-7.52723910569e-05
219426_at	EIF2C3	-7.53336010966e-05
202544_at	GMFB	7.53501175578e-05
208054_at	HERC4	-7.54396856389e-05
215117_at	RAG2	-7.5506662538e-05
204777_s_at	MAL	7.61080433337e-05
208041_at	GRK1	-7.61796066086e-05
210168_at	C6	7.62057074834e-05
213987_s_at	CDK13	-7.62587723385e-05
207433_at	IL10	7.63650005534e-05
216927_at	MAU2	-7.64971377792e-05
217221_x_at	RBM10	-7.65085557129e-05
221072_at	C9ORF31	-7.6865293224e-05
208203_x_at	KIR2DS5	7.68973113062e-05
220833_at	-666	7.70782890188e-05
212139_at	GCN1L1	-7.72031550316e-05
215306_at	-666	-7.73940495305e-05
213704_at	RABGGTB	-7.79328635896e-05
206282_at	NEUROD1	7.86723758461e-05
210577_at	CASR	7.89685489978e-05
208507_at	OR7C2	-7.91424200509e-05
212518_at	PIP5K1C	7.92731116608e-05
205583_s_at	ALG13	-7.9753941059e-05
215850_s_at	NDUFA5	-7.99994767387e-05
206096_at	ZNF35	8.02713779037e-05
217386_at	-666	-8.09462250336e-05
220345_at	LRRTM4	8.17478106099e-05
217385_at	-666	-8.18466483209e-05
214664_at	PAICS	-8.20760750102e-05
206987_x_at	FGF18	-8.21057291068e-05
219203_at	FAM158A	-8.21553234392e-05
211562_s_at	LMOD1	8.22200937095e-05
207523_at	C6ORF10	-8.23664364241e-05
200922_at	KDELR1	-8.27057625165e-05
214829_at	AASS	-8.34941305881e-05
216108_at	-666	8.38121037733e-05
208377_s_at	CACNA1F	-8.38518550053e-05
205004_at	NKRF	-8.44075631816e-05
216535_at	CADM3	8.44665564916e-05
220878_at	-666	8.48554153237e-05
204297_at	PIK3C3	8.52181451931e-05
207588_at	-666	8.59914156398e-05
206249_at	MAP3K13	-8.69033251619e-05
207883_s_at	TFR2	8.69717571873e-05
215187_at	FLJ11292	-8.79592176799e-05
207258_at	DSCR4	-8.86353347033e-05
206157_at	PTX3	-8.88293544603e-05
