concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
1e-05,0.998535519923,0.999562196511,0.9997847165,0.998097472399,0.99933503532,0.99999894857,0.999888450086,0.999054126755,0.99981963796,0.999970009883,0.999652176112,0.999127403559,0.999494959806,0.999988458538,0.991737384968,0.956702193064,0.974849166187,0.974849166187
1.1220184543e-05,0.998422630708,0.999522576909,0.999765056381,0.997927857286,0.999283912878,0.999998750748,0.999877926011,0.998966204774,0.999803213729,0.999966082672,0.999622090551,0.999057443156,0.99944829868,0.999986058649,0.991053002148,0.955224248346,0.973810764201,0.973810764201
1.25892541179e-05,0.998301051984,0.99947937343,0.99974360127,0.997743155212,0.999228862836,0.999998515705,0.999866409172,0.99887011933,0.999785294174,0.999961641209,0.999589403687,0.998981878638,0.999397328788,0.999983159743,0.990312352339,0.953697333593,0.972730293262,0.972730293262
1.41253754462e-05,0.998170116896,0.99943226218,0.99972018736,0.99754203067,0.999169583878,0.999998236441,0.99985380594,0.998765114238,0.999765743214,0.999956618161,0.999553890782,0.998900261919,0.999341652694,0.999979658061,0.989510881802,0.952119928659,0.971606116617,0.971606116617
1.58489319246e-05,0.998029107732,0.999380890049,0.999694635911,0.997323031133,0.999105751638,0.999997904634,0.999840013865,0.998650363613,0.999744412393,0.999950937378,0.999515307714,0.998812109225,0.999280836391,0.999975428273,0.9886436807,0.950490473295,0.97043653951,0.97043653951
1.77827941004e-05,0.997877252096,0.999324872085,0.999666751891,0.997084577025,0.999037016952,0.999997510399,0.999824920838,0.998524965514,0.999721139762,0.999944512743,0.99947338931,0.998716898271,0.99921440595,0.99997031899,0.98770545739,0.948807366589,0.969219807608,0.969219807608
1.99526231497e-05,0.997713718808,0.999263788635,0.999636322492,0.996824950872,0.998963003972,0.99999704199,0.999808404186,0.998387935022,0.999695748651,0.999937246863,0.999427847541,0.998614065225,0.999141843866,0.999964147352,0.986690511248,0.947068966442,0.967954105434,0.967954105434
2.23872113857e-05,0.997537613489,0.999197182235,0.999603115518,0.996542285579,0.998883308142,0.999996485453,0.999790329677,0.9982381967,0.999668046336,0.999929029601,0.999378369557,0.998503001434,0.99906258508,0.999956692481,0.985592703985,0.945273589074,0.96663755479,0.96663755479
2.51188643151e-05,0.997347973844,0.999124554216,0.999566877621,0.996234551765,0.998797494023,0.999995824206,0.99977055043,0.99807457639,0.99963782258,0.999919736399,0.999324615557,0.998383049897,0.998976012629,0.999947687586,0.984405429471,0.94341950857,0.965268213207,0.965268213207
2.81838293126e-05,0.997143764595,0.999045361015,0.999527332381,0.9958995441,0.998705092954,0.999995038548,0.999748905728,0.997895792287,0.999604848052,0.9999092264,0.999266216482,0.998253501465,0.998881452923,0.999936810418,0.983121582082,0.941504956472,0.963844072398,0.963844072398
3.16227766017e-05,0.996923872053,0.998959010163,0.999484178211,0.995534866571,0.998605600543,0.999994105073,0.999725219718,0.997700445234,0.999568872592,0.999897340312,0.999202771509,0.998113590755,0.998778170576,0.999923671748,0.981733523604,0.939528121418,0.962363056744,0.962363056744
3.54813389234e-05,0.996687098303,0.998864855908,0.999437086072,0.995137916612,0.998498473967,0.999992995969,0.999699299983,0.997487008173,0.999529623329,0.999883897994,0.999133845327,0.997962491749,0.998665362796,0.999907801455,0.980233048763,0.937487148826,0.960823021797,0.960823021797
3.98107170553e-05,0.996432154984,0.998762194459,0.999385696987,0.994705868032,0.998383129073,0.999991678195,0.999670935989,0.997253814686,0.999486802626,0.999868695739,0.999058965195,0.997799313052,0.998542153253,0.999888631717,0.978611349489,0.935380140652,0.959221752836,0.959221752836
4.46683592151e-05,0.996157656619,0.998650258818,0.999329619329,0.994235652661,0.998258937271,0.99999011249,0.999639897383,0.996999046557,0.999440085839,0.999851503184,0.998977617745,0.997623092803,0.998407585418,0.999865476731,0.976858978053,0.933205155189,0.95755696345,0.95755696345
5.01187233627e-05,0.995862113498,0.998528213144,0.999268425861,0.993723940664,0.998125222194,0.999988252208,0.999605932131,0.996720720273,0.999389118876,0.999832059829,0.99888924551,0.997432793193,0.998260615301,0.999837508216,0.974965809255,0.930960206956,0.955826294195,0.955826294195
5.6234132519e-05,0.995543924056,0.998395146639,0.999201650517,0.993167119431,0.997981256113,0.999986041929,0.999568764482,0.996416672394,0.999333515543,0.9998100711,0.998793243174,0.997227294575,0.998100103553,0.999803725848,0.972921001914,0.928643266643,0.954027311295,0.954027311295
