concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
1e-05,0.999930402849,0.999998010015,0.999999170772,0.999999037858,0.999999075876,0.999993092887,0.999997568799,0.99999103528,0.999997779389,0.9999992151,0.999998418267,0.999998734873,0.999999300939,0.999932426591,0.999893078639,0.997209670805,0.999241783628,0.999241783628
1.1220184543e-05,0.999922675269,0.99999769954,0.999999028341,0.999998865958,0.999998922046,0.999992093648,0.999997183689,0.999989693977,0.999997430152,0.999999080431,0.999998172686,0.99999852769,0.999999181723,0.999922450971,0.999877639021,0.997033884578,0.999180674097,0.999180674097
1.25892541179e-05,0.999914089752,0.999997340625,0.999998861445,0.999998663345,0.999998742609,0.999990949852,0.999996737575,0.999988151989,0.999997025991,0.999998922657,0.999997888977,0.999998286579,0.999999042177,0.999911002821,0.999859970201,0.996847071844,0.99911464617,0.99911464617
1.41253754462e-05,0.999904551063,0.999996925713,0.999998665883,0.999998424534,0.999998533304,0.999989640588,0.999996220797,0.999986379292,0.999996558268,0.999998737812,0.999997561218,0.999998005982,0.999998878833,0.99989786482,0.999839750416,0.996648547146,0.999043305132,0.999043305132
1.58489319246e-05,0.999893953404,0.999996446067,0.999998436731,0.999998143055,0.999998289158,0.999988141917,0.999995622159,0.99998434137,0.999996016986,0.999998521253,0.999997182573,0.999997679434,0.999998687634,0.999882787586,0.999816611492,0.99643758322,0.998966224783,0.998966224783
1.77827941004e-05,0.999882179239,0.999995891588,0.999998168219,0.999997811287,0.999998004371,0.99998642644,0.999994928695,0.99998199854,0.999995390577,0.999998267538,0.999996745138,0.99999729941,0.999998463827,0.999865484953,0.999790132152,0.996213408554,0.99888294496,0.99888294496
1.99526231497e-05,0.999869097989,0.999995250601,0.999997853586,0.999997420244,0.999997672178,0.999984462794,0.999994125385,0.999979305185,0.999994665653,0.999997970291,0.999996239788,0.999996857151,0.999998201854,0.999845628552,0.999759830372,0.995975204806,0.998792968862,0.998792968862
2.23872113857e-05,0.999854564594,0.999994509608,0.999997484912,0.999996959336,0.999997284689,0.999982215077,0.999993194829,0.999976208863,0.999993826721,0.999997622045,0.999995655977,0.999996342467,0.999997895205,0.999822841588,0.999725154641,0.995722104102,0.998695760184,0.998695760184
2.51188643151e-05,0.999838417905,0.999993653007,0.999997052912,0.999996416081,0.999996832698,0.999979642198,0.999992116872,0.999972649288,0.999992855851,0.99999721405,0.999994981524,0.999995743496,0.999997536261,0.999796691716,0.999685473956,0.995453186186,0.998590740023,0.998590740023
2.81838293126e-05,0.999820478901,0.999992662762,0.999996546711,0.999995775766,0.99999630547,0.999976697118,0.999990868165,0.999968557155,0.999991732294,0.999996736052,0.999994202356,0.999995046436,0.999997116105,0.999766682862,0.999640066399,0.995167475425,0.998477283554,0.998477283554
