agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Palbociclib	3.1623	24	cytosol	827.116496590909	167.036532954545	149.882182954545	325.023761363636	1107.11633068182	140.313843181818	1170.90192613636	384.958479545455	218.997053409091	169.334997727273	616.669278409091	149.839659090909	153.074297727273	3944.71602272727	397.306376136364	444.978281818182	298.656034090909	227.660075	929.819636363636	293.691834090909	5720.42507045455
Palbociclib	0.031623	24	cytosol	901.035678311499	326.932088791849	158.007547307132	283.253897379913	993.073498544396	140.00388209607	1233.00755676856	408.618194323144	217.885350800582	166.987107714702	555.755327510917	152.739756186317	150.725575691412	4043.84656259098	340.630536390102	350.176639010189	242.259100436681	467.921211790393	869.898808588064	468.997475254731	5574.83430422125
Palbociclib	10	24	cytosol	742.231586872587	160.325035714286	149.966558880309	285.380477799228	848.864101351351	137.405488416988	941.542662162162	360.6781496139	196.185783783784	161.059717181467	498.836637065637	147.353361003861	151.535731660232	4487.29575868726	398.688409266409	440.564760617761	270.194527027027	213.384001930502	819.659748069498	260.357732625483	8332.3373030888
Palbociclib	0.1	24	cytosol	724.902188376754	251.68299498998	152.400863727455	283.047881763527	863.346363727455	140.612210420842	988.566513026052	394.896987975952	227.585246492986	162.272892785571	647.396924849699	150.008398797595	155.093896793587	3907.24600200401	360.220862725451	423.824927855711	279.221948897796	272.484652304609	947.589283567134	334.07774749499	8549.42123847695
Palbociclib	0.31623	24	cytosol	835.229962037037	228.903500925926	150.635312037037	299.361663888889	712.581859259259	139.030761111111	756.986938888889	396.145259259259	229.810125925926	160.874612962963	563.275918518519	149.776975	154.162628703704	3678.21856296296	343.905093518519	418.168402777778	271.662343518519	250.984333333333	748.137605555556	285.09942037037	8583.9822
Palbociclib	0.01	24	cytosol	916.624100847458	322.787512711864	168.547349152542	289.904388983051	548.346380508475	136.967309322034	760.434331355932	428.810492372881	225.399158474576	163.110956779661	285.156422033898	150.137998305085	146.412583050847	3990.70885	317.013080508475	361.344988983051	237.497037288136	308.810388135593	519.573492372881	310.796740677966	7100.18376864407
Palbociclib	1	24	cytosol	764.805334261838	198.242628133705	147.037298050139	271.567259052925	574.447864902507	134.455959610028	633.544554317549	385.738364902507	220.025473537604	156.683697771588	326.541274373259	144.767750696379	146.373137883008	3685.72825487465	339.069240947075	408.390252089136	246.398328690808	206.345282729805	502.920213091922	220.711605849582	7460.49990529248
Palbociclib	3.1623	24	nucleus	3170.77874323336	698.790077542063	194.007720555962	694.815653255304	1493.57015727871	212.449101682516	820.818772494513	1300.15878419898	485.237809070958	248.687895391368	744.974820775421	171.203059253841	254.103209948793	4834.61820702268	392.18940380395	500.197885149963	784.335487929773	1858.98286905633	697.591163862473	1750.38980687637	6732.05105852231
Palbociclib	0.031623	24	nucleus	2725.0059135239	1261.14737448955	291.87432932981	489.066130434783	950.443875810713	196.157319961566	647.53508839779	1142.48597333654	335.986472736008	217.51419240932	311.500208743694	175.496276723517	184.586905596925	3799.98505524862	278.918357434542	271.274492673553	307.114257266394	2640.54991592601	450.413667547442	2436.23800936824	4966.27162647129
Palbociclib	10	24	nucleus	2883.39967751703	506.857616956851	157.185868281605	708.642941710825	1396.72461468584	209.53952990159	709.607279333838	1173.34635049205	441.443577592733	246.461286146858	742.716444360333	175.465248296745	263.424022710068	5008.78174640424	409.247741862226	490.86234670704	786.892405753217	1599.68085616957	735.204474640424	1440.08049053747	8018.70125056775
Palbociclib	0.1	24	nucleus	3032.34846251103	1128.68425992355	253.88563481329	525.940465157307	835.287789767715	186.006119670685	479.483107615407	1244.13077241988	359.190981182005	204.921074095854	401.282113790062	171.661912672743	184.53930990885	3359.35480005881	279.220429285504	307.133960599824	381.856880329315	3109.10325874743	409.675224051749	1931.11811408409	5593.86666186416
Palbociclib	0.31623	24	nucleus	2612.49152774632	946.059255096263	209.135239524349	395.825845130238	714.004620611552	183.574825311438	404.626734994337	1196.00184343148	327.723923839185	193.176537655719	361.368317383918	162.02419195923	174.656577010193	2701.52147423556	269.396202151755	317.460061155153	371.458122593431	2472.60934626274	328.498826160815	1560.68986268403	5114.80569450736
Palbociclib	0.01	24	nucleus	2626.1932563526	980.57426354846	287.692051045649	425.600267596132	635.955480998426	168.774772880594	419.055719136497	1075.94696379582	301.436296604452	190.694171576344	236.538168428154	162.539642005847	166.865749494041	3589.69028108837	251.646120980436	267.054068810434	261.134814256802	2078.60356757365	334.950251855183	1478.08721250281	4471.77336788846
Palbociclib	1	24	nucleus	3812.46803474078	816.69823677178	328.696944949225	602.259352218065	732.869207910208	160.691714591128	484.648210048103	1131.15271031534	386.561192410476	201.818402458578	221.644249599145	160.500482095136	172.1584404062	3946.88454997328	305.619102084447	374.390493319081	411.250899518974	1247.30762319615	308.247764297167	777.310374665954	6382.15704917157
