agent	concentration	time	compartment	RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
DMSO	0	72	cytosol	609.74729285799	271.619316348321	147.536588385336	215.300221793807	497.02084238937	129.122665678016	554.526484102503	388.714060564717	186.931957053031	152.539412504449	525.897132340728	146.278994424012	144.822192668169	2250.742616028	276.225407877566	279.960670542176	195.163513050184	467.041646458655	607.359451002491	407.51529048523	5792.097838415
DMSO	0	72	nucleus	2456.36625316999	1302.04510703835	404.550038722641	485.013456400453	2029.0545150794	389.93582255862	884.156054523819	1560.84219704655	480.825534235886	397.786320022629	646.232161054972	262.139163532441	282.87273713472	3144.10619798291	603.545935858921	437.529475927588	500.97202976864	4045.16255169521	1265.34329050759	4743.41948851001	5221.35593047482
