	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
NF-kappa B signaling pathway_Homo sapiens_hsa04064	0.0	0.0	0.0	0.0	0.0	0.0	-3.65028907962	-1.76354644747	-0.794047459645	-3.99647300294	-14.0914477053	-20.1245742301
Small cell lung cancer_Homo sapiens_hsa05222	0.0	0.0	0.0	0.0	0.0	0.0	-2.87359282118	-1.51846031384	-0.931308631294	-0.104736446669	-8.5104924677	-10.4828609219
